function, code1, hexcode1, code2, hexcode2
"DIGIT 5","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,24,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1080 ","0000 0068 0000 000d 0060 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0438",,

"DIGIT 6","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,24,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000d 0060 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

"DIGIT 7","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1058 ","0000 0068 0000 000d 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0422",,

"DIGIT 8","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,24,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1035 ","0000 0068 0000 000d 0060 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 040b",,

"DIGIT 9","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1080 ","0000 0068 0000 000d 0060 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0438",,

"DIGIT SEPARATOR","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,48,24,48,24,24,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,24,24,48,770 ","0000 0068 0000 0010 0060 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0302",,

"DISCOVER","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,789 ","0000 0068 0000 0010 0060 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0315",,

"DISPLAY","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,48,24,48,24,48,24,24,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,507 ","0000 0068 0000 0015 0060 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 01FB",,

"DME X BRAVIA MODULE","sendir,1:1,1,40000,1,1,95,23,48,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,23,23,23,793 ","0000 0068 0000 0010 005F 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0017 0017 0017 0319",,

"DRC MODE","sendir,1:1,1,40000,1,1,95,23,47,23,23,23,23,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,747 ","0000 0068 0000 0010 005F 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 02EB",,

"DRC PALLETTE","sendir,1:1,1,40000,1,1,95,23,23,23,23,23,47,23,47,23,47,23,23,23,23,23,47,23,47,23,47,23,23,23,47,23,47,23,47,23,23,771 ","0000 0068 0000 0010 005F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0303",,

"ENTER","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,24,24,24,1038 ","0000 0068 0000 000D 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 040E",,

"EXIT","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,24,24,24,24,48,24,48,24,48,24,24,24,24,24,24,24,24,1104 ","0000 0067 0000 000D 0060 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0450",,

"FAVORITE","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,48,24,48,24,48,24,48,24,48,24,48,24,24,24,48,24,48,24,48,24,24,728 ","0000 0068 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 02D8",,

"FOOTBALL","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,48,24,48,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,24,24,24,789 ","0000 0068 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0315",,

"FORMAT 16:9","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,833 ","0000 0068 0000 0010 0060 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0341",,

"FORMAT FULL","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,788 ","0000 0068 0000 0010 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0314",,

"FORMAT FULL NORMAL TOGGLE","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,788 ","0000 0068 0000 0010 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0314",,

"FORMAT NORMAL","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,24,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,833 ","0000 0068 0000 0010 0060 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0341",,

"FORMAT SCROLL","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,48,24,48,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,24 ","0000 0068 0010 0000 0060 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018",,

"FORMAT WIDE ZOOM","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,24,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,855 ","0000 0068 0000 0010 0060 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0357",,

"FORWARD","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,47,23,47,23,47,23,23,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,796 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 031C",,

"FREEZE","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,24,1104 ","0000 0067 0000 000D 0060 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0450",,

"FUNCTION 1","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,794 ","0000 0068 0000 0010 0060 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 031A",,

"FUNCTION 2","sendir,1:1,1,40000,1,1,96,24,24,24,24,24,48,24,24,24,48,24,48,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,818 ","0000 0068 0000 0010 0060 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0332",,

"FUNCTION 3","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,48,24,24,24,48,24,48,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,771 ","0000 0068 0000 0010 0060 0018 0030 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0303",,

"FUNCTION 4","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,48,24,24,24,48,24,48,24,24,24,24,24,24,24,24,985 ","0000 0068 0000 000D 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 03D9",,

"FUNCTION 5","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,24,24,24,24,48,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,818 ","0000 0068 0000 0010 0060 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0332",,

"FUNCTION BLUE","sendir,1:1,1,40000,1,1,96,23,23,23,23,23,47,23,23,23,23,23,47,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,820 ","0000 0068 0000 0010 0060 0017 0017 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0334",,

"FUNCTION GREEN","sendir,1:1,1,40000,1,1,96,23,23,23,47,23,47,23,23,23,23,23,47,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,796 ","0000 0068 0000 0010 0060 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 031C",,

"FUNCTION RED","sendir,1:1,1,40000,1,1,96,23,47,23,23,23,47,23,23,23,23,23,47,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,796 ","0000 0068 0000 0010 0060 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 031C",,

"FUNCTION YELLOW","sendir,1:1,1,40000,1,1,96,23,47,23,47,23,47,23,23,23,23,23,47,23,23,23,47,23,47,23,47,23,23,23,47,23,23,23,23,23,47,772 ","0000 0068 0000 0010 0060 0017 002F 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 002F 0304",,

"GUIDE","sendir,1:1,1,40000,1,1,96,23,23,23,47,23,47,23,47,23,23,23,23,23,23,23,47,23,23,23,23,23,23,23,23,1036 ","0000 0068 0000 000D 0060 0017 0017 0017 002F 0017 002F 0017 002F 0017 0017 0017 0017 0017 0017 0017 002F 0017 0017 0017 0017 0017 0017 0017 0017 040C",,

"GUIDE ALTERNATE","sendir,1:1,1,40000,1,1,95,24,48,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,48,24,24,24,24,24,48,24,24,24,48,788 ","0000 0068 0000 0010 005F 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0314",,

